,X1,X2,X3,X4,X5,X6,X7,Output
1024,0.22904898,1.8701836,1.1009387,1.6610198,1.6243575,1.1736183,0.3186423,3.2001662
1025,1.0965626,1.5379698,1.2290993,0.9897776,0.77253836,1.1547111,1.2285658,3.8636224
1026,0.15152904,0.964341,1.9682897,1.2586482,1.9898902,0.58231634,0.93643147,3.084155
1027,1.1792269,0.09505448,1.6704903,0.85963696,0.649466,0.766345,1.8991513,2.9447677
1028,0.7584777,0.6972398,1.7053978,0.69234407,1.5407462,1.2324145,0.070643075,3.1611102
1029,1.4638264,0.6512291,1.0738274,0.72212255,1.9777974,0.7930177,1.223125,3.1888776
1030,0.10803729,1.0699091,1.9907477,1.4168239,1.1465588,0.85585415,1.7189333,3.1686888
1031,0.19209705,1.5786092,0.928227,0.92175066,0.8166542,1.645951,1.7916437,2.6989303
1032,1.8041155,1.3070852,0.66740775,1.3145686,1.2574211,1.1160313,1.2459822,3.7785997
1033,0.35951746,1.1617049,0.9831546,1.9307156,0.8931448,1.4213881,0.4278953,2.5043743
1034,0.559261,1.0616796,0.45502275,0.20610623,1.3958284,0.023485793,0.03034289,2.0759623
1035,0.10432823,0.20567426,0.61442876,1.593112,1.3240844,1.2516695,0.5041241,0.9244312
1036,1.2117926,1.8283134,1.6754097,0.7956963,0.38020095,0.16641286,1.714855,4.715498
1037,0.33235645,0.645938,0.24648747,0.39912897,1.8177602,0.46012682,1.7440208,1.2247816
1038,0.53069,1.4492599,1.9324033,0.30191436,0.74870944,1.7341315,0.63772863,3.9123437
1039,1.2033386,1.6230818,0.8021398,0.048247445,0.27484843,0.6049836,0.86747086,3.6285524
1040,1.0724145,0.8326761,1.0054611,0.86212116,0.025771767,1.9682021,0.1922147,2.9105475
1041,1.3242503,1.791714,1.5896074,1.063072,1.9346288,1.9891778,0.19022831,4.705555
1042,0.24918212,0.36070406,1.2681811,0.3494015,0.01976901,1.9000574,1.24649,1.8780663
1043,1.52521,1.1747787,1.3914653,1.8567116,0.95738655,1.5870981,0.88765764,4.0914426
1044,0.057609815,1.3057113,1.595501,1.7138889,1.6459168,1.4325142,0.9765604,2.9588177
1045,0.14094219,0.65863335,1.7243634,1.8830123,1.1219136,1.5099827,1.8369893,2.5239365
1046,1.3861836,1.1329565,1.5145179,0.62467194,0.50972456,0.26786736,0.3120371,4.0336475
1047,1.3265123,1.8024756,1.8377652,1.5697881,0.25765017,1.1460688,1.7128117,4.9667325
1048,1.602942,1.7846965,0.7572575,1.440166,1.53232,1.7986138,0.67522705,4.1448846
1049,0.8991533,0.679764,1.6662874,0.028937092,1.5832475,0.49551573,0.086678654,3.2451994
1050,1.682923,1.4992324,0.67975986,0.5735299,0.1688965,1.9840636,1.0372539,3.8619058
1051,1.9908624,0.12810984,0.7961722,1.3059157,0.38329676,0.07469757,1.5572699,2.9151404
1052,1.1615694,1.048232,1.6093328,0.15977593,0.36504504,0.32161298,0.17770994,3.8191247
1053,1.5299143,1.2512164,0.02345648,0.10625254,0.9315425,0.04826472,0.81407344,2.8045838
1054,0.8587494,0.69042724,1.4508913,0.5923848,0.5593408,1.8275915,0.5898774,3.0000637
1055,1.731701,0.6903019,0.082226,1.5597132,1.8328785,1.3372424,0.7604915,2.5042262
1056,1.0452086,0.71327883,0.9165431,1.9414546,0.43197906,1.6435895,1.790238,2.6750276
1057,0.1960906,1.2396554,1.4355508,1.6693765,1.6854604,0.16568534,1.1472187,2.871293
1058,0.9095146,1.0379235,0.17566192,1.6897577,0.008444999,0.31468344,1.1855578,2.1230984
1059,0.22805214,1.0201032,0.3000188,1.1712118,0.57169753,1.8174076,1.4739573,1.5481735
1060,1.3356124,1.7848403,1.7002534,1.523458,1.7174225,0.4186949,0.4790076,4.8206882
1061,1.4861575,1.1841884,1.7707945,1.7980386,0.50107217,0.9110071,1.4068373,4.441126
1062,0.5704859,0.05441434,1.9134196,1.6108004,1.6556089,0.24862364,0.6658104,2.5383172
1063,0.012465818,1.4408808,1.4285628,1.334269,1.4419545,1.2083426,1.9589009,2.8819056
1064,1.8994327,0.4862604,1.052262,0.6309892,1.4745458,1.7530378,1.1422074,3.4379485
1065,1.702417,0.6381141,0.80806553,0.95528305,1.4081137,1.3659186,1.9453661,3.1485918
1066,1.9547876,1.5991755,1.2258402,0.6401191,1.7045114,0.4749609,0.23634091,4.7797856
1067,1.2099495,0.7346283,1.9166323,0.7932671,0.008361048,1.9524497,0.6867385,3.8612008
1068,0.5658702,1.6355036,0.029358527,1.048339,0.1801886,0.04127378,1.1992047,2.2307305
1069,0.45773053,0.6355215,1.0842712,0.11407365,0.0898814,1.9892954,0.058796965,2.1775217
1070,0.8756361,0.82374614,0.8453891,1.33442,0.2490154,0.7797135,1.0743933,2.5447688
1071,0.49899244,0.03429408,1.6186445,0.81359935,0.8204946,0.044905204,1.1393912,2.1519296
1072,1.5900265,0.37372968,1.4453759,0.5187286,0.60668176,1.1161094,0.6814371,3.4091256
1073,0.8578327,0.8413008,1.3796031,0.4995607,0.8850181,0.20187269,1.1082315,3.0787318
1074,1.2544861,1.1075294,0.5871816,1.9383167,1.0232666,0.69787,1.4547501,2.949193
1075,1.3096828,1.9063222,1.9940374,0.28341207,0.23306161,1.839182,0.5397484,5.210019
1076,0.88564986,0.54217094,1.3325294,0.033140827,1.034027,0.7256929,0.29334638,2.760347
1077,1.4848515,1.9031053,1.3638444,0.2920313,1.7743657,1.2837558,1.1718448,4.7517834
1078,1.2287849,1.201091,0.9598746,0.024484016,1.8770773,0.022950206,1.4317169,3.389744
